Date,Team,Player,Transaction Details
"Nov 15, 2024",Colorado Avalanche,Valeri Nichushkin,Activated from Non-Roster
"Nov 15, 2024",Colorado Avalanche,Ivan Ivan,Recalled from AHL
"Nov 15, 2024",Colorado Avalanche,Nikolai Kovalenko,Recalled from AHL
"Nov 15, 2024",Pittsburgh Penguins,Owen Pickering,Recalled from AHL
"Nov 14, 2024",Vancouver Canucks,Dakota Joshua,Activated from IR
"Nov 14, 2024",Vegas Golden Knights,Grigori Denisenko,Assigned to AHL
"Nov 14, 2024",Vegas Golden Knights,Akira Schmid,Assigned to AHL
"Nov 14, 2024",Carolina Hurricanes,Ty Smith,Recalled from AHL
"Nov 14, 2024",Chicago Blackhawks,Alec Martinez,Activated from IR
"Nov 14, 2024",Columbus Blue Jackets,Gavin Brindley,Assigned to AHL
"Nov 14, 2024",Columbus Blue Jackets,Gavin Brindley,Activated from SOIR.
"Nov 14, 2024",Colorado Avalanche,Nikolai Kovalenko,Assigned to AHL
"Nov 14, 2024",Colorado Avalanche,Ivan Ivan,Assigned to AHL
"Nov 14, 2024",Colorado Avalanche,Chris Wagner,Placed on Waivers
"Nov 14, 2024",Boston Bruins,Patrick Brown,Recalled from AHL
"Nov 14, 2024",Vancouver Canucks,Aatu Raty,Recalled from AHL
"Nov 14, 2024",Vancouver Canucks,Jonathan Lekkerimäki,Recalled from AHL
"Nov 14, 2024",Colorado Avalanche,Jonathan Drouin,Activated from IR
"Nov 14, 2024",Colorado Avalanche,Miles Wood,Activated from IR
"Nov 14, 2024",Pittsburgh Penguins,Joel Blomqvist,Assigned to AHL
"Nov 14, 2024",Pittsburgh Penguins,Matt Nieto,Recalled from AHL
"Nov 14, 2024",Pittsburgh Penguins,Vasily Ponomarev,Recalled from AHL
"Nov 14, 2024",Detroit Red Wings,Ville Husso,Assigned to AHL
"Nov 14, 2024",New York Islanders,Travis Mitchell,Recalled from AHL
"Nov 14, 2024",New York Islanders,Mike Reilly,Placed on IR
"Nov 14, 2024",Colorado Avalanche,Nikita Prishchepov,Assigned to AHL
"Nov 14, 2024",Colorado Avalanche,T.J. Tynan,Assigned to AHL
"Nov 13, 2024",Vegas Golden Knights,Grigori Denisenko,Recalled from AHL
"Nov 13, 2024",Vegas Golden Knights,Victor Olofsson,Placed on LTIR
"Nov 13, 2024",Vegas Golden Knights,Akira Schmid,Recalled from AHL
"Nov 13, 2024",Vegas Golden Knights,Jonas Rondbjerg,Assigned to AHL
"Nov 13, 2024",New York Rangers,Chad Ruhwedel,Recalled from AHL
"Nov 13, 2024",New York Rangers,Victor Mancini,Assigned to AHL
"Nov 13, 2024",Buffalo Sabres,Mattias Samuelsson,Placed on IR
"Nov 13, 2024",St. Louis Blues,Leo Loof,Recalled from AHL
"Nov 13, 2024",Anaheim Ducks,Drew Helleson,Recalled from AHL
"Nov 13, 2024",Anaheim Ducks,Jansen Harkins,Recalled from AHL
"Nov 13, 2024",Nashville Predators,Adam Wilsby,Recalled from AHL
"Nov 13, 2024",Carolina Hurricanes,Jackson Blake,Recalled from AHL
"Nov 13, 2024",Carolina Hurricanes,Spencer Martin,Recalled from AHL
"Nov 13, 2024",Carolina Hurricanes,Riley Stillman,Assigned to AHL
"Nov 13, 2024",Carolina Hurricanes,Riley Stillman,Cleared Waivers
"Nov 13, 2024",Vancouver Canucks,Aatu Raty,Assigned to AHL
"Nov 13, 2024",Vancouver Canucks,Jonathan Lekkerimäki,Assigned to AHL
"Nov 13, 2024",Vancouver Canucks,Arshdeep Bains,Assigned to AHL
"Nov 13, 2024",Anaheim Ducks,James Reimer,Lost on Waivers to Buffalo Sabres
"Nov 13, 2024",Buffalo Sabres,James Reimer,Claimed on Waivers from Anaheim Ducks
"Nov 13, 2024",Boston Bruins,Jordan Oesterle,Recalled from AHL
"Nov 13, 2024",Seattle Kraken,Ales Stezka,Assigned to AHL
"Nov 13, 2024",Toronto Maple Leafs,Jani Hakanpää,Activated from LTIR
"Nov 13, 2024",Colorado Avalanche,Nikita Prishchepov,Recalled from AHL
"Nov 13, 2024",Colorado Avalanche,T.J. Tynan,Recalled from AHL
"Nov 13, 2024",Minnesota Wild,Michael Milne,Recalled from AHL
"Nov 13, 2024",Tampa Bay Lightning,Gage Goncalves,Recalled from AHL
"Nov 12, 2024",Vegas Golden Knights,Akira Schmid,Assigned to AHL
"Nov 12, 2024",Carolina Hurricanes,Spencer Martin,Assigned to AHL
"Nov 12, 2024",Carolina Hurricanes,Jackson Blake,Assigned to AHL
"Nov 12, 2024",Chicago Blackhawks,Andreas Athanasiou,Assigned to AHL
"Nov 12, 2024",Washington Capitals,Lars Eller,Acquired from Pittsburgh Penguins
"Nov 12, 2024",Pittsburgh Penguins,Lars Eller,Traded to Washington Capitals
"Nov 12, 2024",Anaheim Ducks,Robby Fabbri,Placed on IR
"Nov 12, 2024",Carolina Hurricanes,Ty Smith,Assigned to AHL
"Nov 12, 2024",Washington Capitals,Michael Sgarbossa,Assigned to AHL
"Nov 12, 2024",St. Louis Blues,Philip Broberg,Placed on IR
"Nov 12, 2024",Minnesota Wild,Daemon Hunt,Recalled from AHL
"Nov 12, 2024",Anaheim Ducks,Cam Fowler,Placed on IR
"Nov 12, 2024",Winnipeg Jets,Logan Stanley,Placed on IR
"Nov 12, 2024",Winnipeg Jets,Kaapo Kahkonen,Assigned to AHL
"Nov 12, 2024",Toronto Maple Leafs,Matt Benning,Assigned to AHL
"Nov 12, 2024",Carolina Hurricanes,Riley Stillman,Placed on Waivers
"Nov 12, 2024",Anaheim Ducks,James Reimer,Placed on Waivers
"Nov 12, 2024",Chicago Blackhawks,Andreas Athanasiou,Cleared Waivers
"Nov 12, 2024",Toronto Maple Leafs,Matt Benning,Cleared Waivers
"Nov 12, 2024",Winnipeg Jets,Kaapo Kahkonen,Claimed on Waivers from Colorado Avalanche
"Nov 12, 2024",Colorado Avalanche,Kaapo Kahkonen,Lost on Waivers to Winnipeg Jets
"Nov 12, 2024",Colorado Avalanche,T.J. Tynan,Assigned to AHL
"Nov 12, 2024",Colorado Avalanche,Nikita Prishchepov,Assigned to AHL
"Nov 12, 2024",Ottawa Senators,Zack Ostapchuk,Assigned to AHL
"Nov 12, 2024",Vancouver Canucks,Arshdeep Bains,Recalled from AHL
"Nov 12, 2024",Toronto Maple Leafs,Alex Steeves,Emergency Recall
"Nov 11, 2024",Washington Capitals,Michael Sgarbossa,Recalled from AHL
"Nov 11, 2024",Seattle Kraken,Ales Stezka,Emergency Recall
"Nov 11, 2024",Calgary Flames,Anthony Mantha,Placed on IR
"Nov 11, 2024",Carolina Hurricanes,Spencer Martin,Recalled from AHL
"Nov 11, 2024",Philadelphia Flyers,Ryan Poehling,Activated from IR
"Nov 11, 2024",Vancouver Canucks,Arturs Silovs,Recalled from AHL
"Nov 11, 2024",Vancouver Canucks,Ty Young,Assigned to AHL
"Nov 11, 2024",Boston Bruins,Matthew Poitras,Assigned to AHL
"Nov 11, 2024",Philadelphia Flyers,Jamie Drysdale,Placed on IR
"Nov 11, 2024",Colorado Avalanche,Kaapo Kahkonen,Placed on Waivers
"Nov 11, 2024",Chicago Blackhawks,Andreas Athanasiou,Placed on Waivers
"Nov 11, 2024",Toronto Maple Leafs,Matt Benning,Placed on Waivers
"Nov 11, 2024",Minnesota Wild,Michael Milne,Assigned to AHL
"Nov 11, 2024",Calgary Flames,Adam Klapka,Recalled from AHL
"Nov 11, 2024",Chicago Blackhawks,Isaak Phillips,Assigned to AHL
"Nov 11, 2024",Pittsburgh Penguins,Sam Poulin,Recalled from AHL
"Nov 11, 2024",Pittsburgh Penguins,Kevin Hayes,Placed on IR
"Nov 11, 2024",Ottawa Senators,Zack Ostapchuk,Recalled from AHL
"Nov 11, 2024",Toronto Maple Leafs,Max Pacioretty,Placed on IR
"Nov 11, 2024",Carolina Hurricanes,Tyson Jost,Recalled from AHL
"Nov 11, 2024",Carolina Hurricanes,Ty Smith,Recalled from AHL
"Nov 10, 2024",Vegas Golden Knights,Jonas Rondbjerg,Recalled from AHL
"Nov 10, 2024",Vegas Golden Knights,Akira Schmid,Recalled from AHL
"Nov 10, 2024",Carolina Hurricanes,Spencer Martin,Assigned to AHL
"Nov 10, 2024",Columbus Blue Jackets,Kent Johnson,Placed on IR
"Nov 10, 2024",Vancouver Canucks,Nils Aman,Assigned to AHL
"Nov 10, 2024",Vancouver Canucks,Ty Young,Recalled from AHL
"Nov 10, 2024",Vancouver Canucks,Arturs Silovs,Assigned to AHL
"Nov 10, 2024",Vancouver Canucks,Jonathan Lekkerimäki,Recalled from AHL
"Nov 10, 2024",Vancouver Canucks,Arshdeep Bains,Assigned to AHL
"Nov 10, 2024",Washington Capitals,Michael Sgarbossa,Assigned to AHL
"Nov 10, 2024",Ottawa Senators,Zack Ostapchuk,Assigned to AHL
"Nov 10, 2024",Calgary Flames,Dryden Hunt,Assigned to AHL
"Nov 10, 2024",Columbus Blue Jackets,Dante Fabbro,Claimed on Waivers from Nashville Predators
"Nov 10, 2024",Nashville Predators,Dante Fabbro,Lost on Waivers to Columbus Blue Jackets
"Nov 9, 2024",Vegas Golden Knights,Jonas Rondbjerg,Assigned to AHL
"Nov 9, 2024",Vegas Golden Knights,Akira Schmid,Assigned to AHL
"Nov 9, 2024",Seattle Kraken,Ales Stezka,Assigned to AHL
"Nov 9, 2024",Los Angeles Kings,Samuel Helenius,Recalled from AHL
"Nov 9, 2024",Los Angeles Kings,Alex Turcotte,Placed on IR
"Nov 9, 2024",Washington Capitals,Michael Sgarbossa,Recalled from AHL
"Nov 9, 2024",Washington Capitals,Sonny Milano,Placed on IR
"Nov 9, 2024",Washington Capitals,Jakob Chychrun,Activated from IR
"Nov 9, 2024",Nashville Predators,Dante Fabbro,Placed on Waivers
"Nov 9, 2024",Vancouver Canucks,Nils Aman,Recalled from AHL
"Nov 9, 2024",Vancouver Canucks,Arshdeep Bains,Recalled from AHL
"Nov 9, 2024",Colorado Avalanche,T.J. Tynan,Recalled from AHL
"Nov 9, 2024",Colorado Avalanche,Nikita Prishchepov,Recalled from AHL
"Nov 9, 2024",Tampa Bay Lightning,Gage Goncalves,Assigned to AHL
"Nov 9, 2024",Seattle Kraken,Daniel Sprong,Acquired from Vancouver Canucks
"Nov 9, 2024",Vancouver Canucks,Daniel Sprong,Traded to Seattle Kraken
"Nov 8, 2024",Vegas Golden Knights,Jonas Rondbjerg,Recalled from AHL
"Nov 8, 2024",Anaheim Ducks,John Gibson,Activated from IR
"Nov 8, 2024",Winnipeg Jets,Jaret Anderson-Dolan,Assigned to AHL
"Nov 8, 2024",Winnipeg Jets,Jaret Anderson-Dolan,Activated from IR
"Nov 8, 2024",Pittsburgh Penguins,Cody Glass,Placed on IR
"Nov 8, 2024",Pittsburgh Penguins,Bryan Rust,Activated from IR
"Nov 8, 2024",New Jersey Devils,Nick DeSimone,Recalled from AHL
"Nov 8, 2024",Los Angeles Kings,Tanner Jeannot,Suspension Started
"Nov 8, 2024",Toronto Maple Leafs,Connor Dewar,Activated from LTIR
"Nov 8, 2024",Toronto Maple Leafs,Auston Matthews,Placed on IR
"Nov 8, 2024",Vegas Golden Knights,Nicolas Hague,Placed on IR
"Nov 8, 2024",Detroit Red Wings,Ville Husso,Emergency Recall
"Nov 8, 2024",Colorado Avalanche,T.J. Tynan,Assigned to AHL
"Nov 8, 2024",Colorado Avalanche,Nikita Prishchepov,Assigned to AHL
"Nov 8, 2024",Seattle Kraken,Ales Stezka,Emergency Recall
"Nov 7, 2024",Boston Bruins,Loke Johansson,Signed to an entry level contract.
"Nov 7, 2024",New Jersey Devils,Simon Nemec,Assigned to AHL
"Nov 7, 2024",Florida Panthers,Justin Sourdif,Assigned to AHL
"Nov 7, 2024",Florida Panthers,Justin Sourdif,Activated from SOIR.
"Nov 7, 2024",Calgary Flames,Dryden Hunt,Recalled from AHL
"Nov 7, 2024",Calgary Flames,Anthony Mantha,Placed on IR
"Nov 7, 2024",Washington Capitals,Michael Sgarbossa,Assigned to AHL
"Nov 7, 2024",San Jose Sharks,Lucas Carlsson,Assigned to AHL
"Nov 7, 2024",San Jose Sharks,Lucas Carlsson,Cleared Waivers
"Nov 7, 2024",Edmonton Oilers,Brady Stonehouse,Assigned to Junior Team
"Nov 7, 2024",Edmonton Oilers,Brady Stonehouse,Activated from SOIR.
"Nov 6, 2024",Boston Bruins,Max Jones,Assigned to AHL
"Nov 6, 2024",Philadelphia Flyers,Anthony Richard,Recalled from AHL
"Nov 6, 2024",Philadelphia Flyers,Ryan Poehling,Placed on IR
"Nov 6, 2024",Boston Bruins,Max Jones,Cleared Waivers
"Nov 6, 2024",San Jose Sharks,Lucas Carlsson,Placed on Waivers
"Nov 6, 2024",Washington Capitals,Vincent Iorio,Assigned to AHL
"Nov 6, 2024",Seattle Kraken,Ryan Winterton,Assigned to AHL
"Nov 6, 2024",Seattle Kraken,John Hayden,Assigned to AHL
"Nov 6, 2024",Seattle Kraken,Cale Fleury,Assigned to AHL
"Nov 6, 2024",Edmonton Oilers,Noah Philp,Assigned to AHL
"Nov 6, 2024",Washington Capitals,Matt Roy,Activated from IR
"Nov 6, 2024",Montreal Canadiens,Lucas Condotta,Recalled from AHL
"Nov 6, 2024",Montreal Canadiens,Oliver Kapanen,Assigned to European Team
"Nov 6, 2024",Minnesota Wild,Michael Milne,Recalled from AHL
"Nov 5, 2024",Vegas Golden Knights,Akira Schmid,Recalled from AHL
"Nov 5, 2024",Buffalo Sabres,Jiri Kulich,Assigned to AHL
"Nov 5, 2024",Buffalo Sabres,Zach Benson,Activated from IR
"Nov 5, 2024",San Jose Sharks,Ethan Cardwell,Assigned to AHL
"Nov 5, 2024",San Jose Sharks,Danil Gushchin,Assigned to AHL
"Nov 5, 2024",San Jose Sharks,Ty Dellandrea,Activated from IR
"Nov 5, 2024",Boston Bruins,Max Jones,Placed on Waivers
"Nov 5, 2024",Edmonton Oilers,Drake Caggiula,Assigned to AHL
"Nov 5, 2024",Tampa Bay Lightning,Gage Goncalves,Recalled from AHL
"Nov 5, 2024",Vancouver Canucks,Aatu Raty,Recalled from AHL
"Nov 5, 2024",Vancouver Canucks,Arshdeep Bains,Assigned to AHL
"Nov 5, 2024",New York Islanders,Isaiah George,Recalled from AHL
"Nov 5, 2024",Washington Capitals,Michael Sgarbossa,Recalled from AHL
"Nov 5, 2024",Seattle Kraken,Ryan Winterton,Recalled from AHL
"Nov 5, 2024",San Jose Sharks,Macklin Celebrini,Activated from IR
"Nov 4, 2024",Vegas Golden Knights,Akira Schmid,Assigned to AHL
"Nov 4, 2024",Philadelphia Flyers,Ronnie Attard,Traded to Edmonton Oilers
"Nov 4, 2024",Philadelphia Flyers,Ben Gleason,Acquired from Edmonton Oilers
"Nov 4, 2024",Edmonton Oilers,Ben Gleason,Traded to Philadelphia Flyers
"Nov 4, 2024",Edmonton Oilers,Ronnie Attard,Acquired from Philadelphia Flyers
"Nov 4, 2024",Florida Panthers,Gracyn Sawchyn,Signed to an entry level contract.
"Nov 4, 2024",New York Islanders,Samuel Bolduc,Assigned to AHL
"Nov 4, 2024",Boston Bruins,Tyler Johnson,Signed 1 year @ $775K AAV starting in 2024-25
"Nov 4, 2024",Dallas Stars,Kyle Capobianco,Assigned to AHL
"Nov 4, 2024",Washington Capitals,Michael Sgarbossa,Assigned to AHL
"Nov 4, 2024",Colorado Avalanche,Nikolai Kovalenko,Recalled from AHL
"Nov 4, 2024",Colorado Avalanche,Nikita Prishchepov,Recalled from AHL
"Nov 4, 2024",Colorado Avalanche,Ivan Ivan,Recalled from AHL
"Nov 4, 2024",Ottawa Senators,Zack Ostapchuk,Recalled from AHL
"Nov 3, 2024",Vancouver Canucks,Nils Aman,Assigned to AHL
"Nov 3, 2024",Vancouver Canucks,Nils Aman,Cleared Waivers
"Nov 3, 2024",Colorado Avalanche,Nikolai Kovalenko,Assigned to AHL
"Nov 3, 2024",Colorado Avalanche,Nikita Prishchepov,Assigned to AHL
"Nov 3, 2024",Ottawa Senators,Zack Ostapchuk,Assigned to AHL
"Nov 3, 2024",Colorado Avalanche,Ivan Ivan,Assigned to AHL
"Nov 3, 2024",Colorado Avalanche,Artturi Lehkonen,Activated from IR
"Nov 2, 2024",Vegas Golden Knights,Akira Schmid,Recalled from AHL
"Nov 2, 2024",Vancouver Canucks,Nils Aman,Placed on Waivers
"Nov 2, 2024",New York Rangers,Matt Rempe,Assigned to AHL
"Nov 2, 2024",New York Rangers,Jimmy Vesey,Activated from LTIR
"Nov 2, 2024",New York Islanders,Samuel Bolduc,Recalled from AHL
"Nov 2, 2024",New York Islanders,Grant Hutton,Recalled from AHL
"Nov 2, 2024",New York Islanders,Adam Pelech,Placed on IR
"Nov 2, 2024",New York Islanders,Mathew Barzal,Placed on LTIR
"Nov 2, 2024",Washington Capitals,Vincent Iorio,Recalled from AHL
"Nov 2, 2024",Washington Capitals,Jakob Chychrun,Placed on IR
"Nov 1, 2024",Florida Panthers,Patrick Giles,Assigned to AHL
"Nov 1, 2024",Florida Panthers,Tomas Nosek,Activated from LTIR
"Nov 1, 2024",Columbus Blue Jackets,Dmitri Voronkov,Activated from IR
"Nov 1, 2024",Anaheim Ducks,Tristan Luneau,Assigned to AHL
"Nov 1, 2024",Nashville Predators,Ozzy Wiesblatt,Signed 2 years @ $775K AAV starting in 2025-26
"Nov 1, 2024",Vancouver Canucks,Erik Brannstrom,Recalled from AHL
"Nov 1, 2024",Vancouver Canucks,Arshdeep Bains,Recalled from AHL
"Nov 1, 2024",Colorado Avalanche,Nikita Prishchepov,Recalled from AHL
"Nov 1, 2024",Colorado Avalanche,T.J. Tynan,Recalled from AHL
"Nov 1, 2024",Colorado Avalanche,Matt Stienburg,Assigned to AHL
"Nov 1, 2024",Vegas Golden Knights,Brendan Brisson,Assigned to AHL
"Oct 31, 2024",Colorado Avalanche,Matt Stienburg,Suspension Started
"Oct 31, 2024",Calgary Flames,Samuel Honzek,Assigned to AHL
"Oct 31, 2024",Calgary Flames,Matt Coronato,Recalled from AHL
"Oct 31, 2024",Pittsburgh Penguins,Blake Lizotte,Activated from IR
"Oct 31, 2024",Minnesota Wild,Luke Toporowski,Assigned to AHL
"Oct 31, 2024",Minnesota Wild,Luke Toporowski,Activated from SOIR.
"Oct 31, 2024",Minnesota Wild,Liam Ohgren,Assigned to AHL
"Oct 31, 2024",Minnesota Wild,Liam Ohgren,Activated from SOIR.
"Oct 31, 2024",Vancouver Canucks,Arshdeep Bains,Assigned to AHL
"Oct 31, 2024",Vancouver Canucks,Erik Brannstrom,Assigned to AHL
"Oct 31, 2024",Detroit Red Wings,Austin Watson,Assigned to AHL
"Oct 31, 2024",Colorado Avalanche,T.J. Tynan,Assigned to AHL
"Oct 31, 2024",Pittsburgh Penguins,Vasily Ponomarev,Assigned to AHL
"Oct 31, 2024",Pittsburgh Penguins,Vasily Ponomarev,Activated from SOIR.
"Oct 31, 2024",Ottawa Senators,Zack Ostapchuk,Recalled from AHL
"Oct 31, 2024",Ottawa Senators,Adam Gaudette,Recalled from AHL
"Oct 30, 2024",Tampa Bay Lightning,Lukas Svejkovsky,Assigned to AHL
"Oct 30, 2024",Tampa Bay Lightning,Lukas Svejkovsky,Cleared Waivers
"Oct 30, 2024",Nashville Predators,Marc Del Gaizo,Recalled from AHL
"Oct 30, 2024",San Jose Sharks,Timothy Liljegren,Acquired from Toronto Maple Leafs
"Oct 30, 2024",Toronto Maple Leafs,Timothy Liljegren,Traded to San Jose Sharks
"Oct 30, 2024",San Jose Sharks,Matt Benning,Traded to Toronto Maple Leafs
"Oct 30, 2024",Toronto Maple Leafs,Matt Benning,Acquired from San Jose Sharks
"Oct 30, 2024",Calgary Flames,Samuel Honzek,Activated from IR
"Oct 30, 2024",Calgary Flames,Adam Klapka,Assigned to AHL
"Oct 30, 2024",Detroit Red Wings,Austin Watson,Recalled from AHL
"Oct 30, 2024",Minnesota Wild,Graeme Clarke,Assigned to AHL
"Oct 30, 2024",Minnesota Wild,Graeme Clarke,Cleared Waivers
"Oct 30, 2024",Montreal Canadiens,Logan Mailloux,Assigned to AHL
"Oct 30, 2024",Ottawa Senators,Adam Gaudette,Assigned to AHL
"Oct 30, 2024",Ottawa Senators,Zack Ostapchuk,Assigned to AHL
"Oct 30, 2024",Colorado Avalanche,T.J. Tynan,Recalled from AHL
"Oct 30, 2024",Utah Hockey Club,Olli Määttä,Acquired from Detroit Red Wings
"Oct 30, 2024",Detroit Red Wings,Olli Määttä,Traded to Utah Hockey Club
"Oct 29, 2024",St. Louis Blues,Alexey Toropchenko,Signed 1 year @ $1.700M AAV starting in 2025-26
"Oct 29, 2024",Pittsburgh Penguins,Bryan Rust,Placed on IR
"Oct 29, 2024",Edmonton Oilers,Noah Philp,Recalled from AHL
"Oct 29, 2024",Colorado Avalanche,Ross Colton,Placed on IR
"Oct 29, 2024",Edmonton Oilers,Drake Caggiula,Recalled from AHL
"Oct 29, 2024",Minnesota Wild,Graeme Clarke,Placed on Waivers
"Oct 29, 2024",Tampa Bay Lightning,Lukas Svejkovsky,Placed on Waivers
"Oct 29, 2024",St. Louis Blues,Adam Jiricek,Assigned to Junior Team
"Oct 29, 2024",San Jose Sharks,Ethan Cardwell,Recalled from AHL
"Oct 29, 2024",Toronto Maple Leafs,Fraser Minten,Assigned to AHL
"Oct 29, 2024",Toronto Maple Leafs,Fraser Minten,Activated from SOIR.
"Oct 29, 2024",New Jersey Devils,Justin Dowling,Recalled from AHL
"Oct 29, 2024",New Jersey Devils,Topias Vilen,Assigned to AHL
"Oct 29, 2024",New Jersey Devils,Topias Vilen,Activated from SOIR.
"Oct 29, 2024",Chicago Blackhawks,Isaak Phillips,Recalled from AHL
"Oct 29, 2024",Minnesota Wild,Daemon Hunt,Assigned to AHL
"Oct 29, 2024",San Jose Sharks,Ty Dellandrea,Placed on IR
"Oct 29, 2024",Ottawa Senators,Zack Ostapchuk,Recalled from AHL
"Oct 29, 2024",Ottawa Senators,Adam Gaudette,Recalled from AHL
"Oct 28, 2024",Vegas Golden Knights,Brendan Brisson,Recalled from AHL
"Oct 28, 2024",Buffalo Sabres,Nicolas Aube-Kubel,Activated from IR
"Oct 28, 2024",Colorado Avalanche,Miles Wood,Placed on IR
"Oct 28, 2024",Tampa Bay Lightning,Gabriel Fortier,Assigned to AHL
"Oct 28, 2024",New York Rangers,Matt Rempe,Recalled from AHL
"Oct 28, 2024",Chicago Blackhawks,Drew Commesso,Assigned to AHL
"Oct 28, 2024",Carolina Hurricanes,Ty Smith,Assigned to AHL
"Oct 28, 2024",Nashville Predators,Marc Del Gaizo,Assigned to AHL
"Oct 28, 2024",Buffalo Sabres,Zach Benson,Placed on IR
"Oct 28, 2024",Utah Hockey Club,Josh Doan,Assigned to AHL
"Oct 28, 2024",Seattle Kraken,Cale Fleury,Recalled from AHL
"Oct 28, 2024",Seattle Kraken,John Hayden,Recalled from AHL
"Oct 28, 2024",Vancouver Canucks,Erik Brannstrom,Recalled from AHL
"Oct 28, 2024",Vancouver Canucks,Arshdeep Bains,Recalled from AHL
"Oct 28, 2024",Ottawa Senators,Adam Gaudette,Assigned to AHL
"Oct 28, 2024",Ottawa Senators,Cole Reinhardt,Assigned to AHL
"Oct 28, 2024",Washington Capitals,Matt Roy,Placed on IR
"Oct 28, 2024",Washington Capitals,Michael Sgarbossa,Recalled from AHL
"Oct 28, 2024",Carolina Hurricanes,Spencer Martin,Recalled from AHL
"Oct 28, 2024",Montreal Canadiens,Lucas Condotta,Assigned to AHL
"Oct 28, 2024",Tampa Bay Lightning,Gabriel Fortier,Cleared Waivers
"Oct 28, 2024",Toronto Maple Leafs,Jake McCabe,Signed 5 years @ $4.700M AAV starting in 2025-26
"Oct 27, 2024",Vegas Golden Knights,Brendan Brisson,Assigned to AHL
"Oct 27, 2024",Dallas Stars,Kyle Capobianco,Recalled from AHL
"Oct 27, 2024",Boston Bruins,Riley Tufte,Assigned to AHL
"Oct 27, 2024",New York Rangers,Jake Leschyshyn,Assigned to AHL
"Oct 27, 2024",Tampa Bay Lightning,Gabriel Fortier,Placed on Waivers
"Oct 27, 2024",Vancouver Canucks,Arshdeep Bains,Assigned to AHL
"Oct 27, 2024",Vancouver Canucks,Erik Brannstrom,Assigned to AHL
"Oct 26, 2024",Minnesota Wild,Pavel Novak,Cleared Waivers
"Oct 26, 2024",Carolina Hurricanes,Jackson Blake,Recalled from AHL
"Oct 26, 2024",Utah Hockey Club,Kailer Yamamoto,Assigned to AHL
"Oct 26, 2024",Utah Hockey Club,Kailer Yamamoto,Cleared Waivers
"Oct 26, 2024",Boston Bruins,Riley Tufte,Cleared Waivers
"Oct 26, 2024",New York Islanders,Matt Martin,Signed 1 year @ $775K AAV starting in 2024-25
"Oct 26, 2024",Vegas Golden Knights,Victor Olofsson,Placed on IR
"Oct 26, 2024",Montreal Canadiens,Lucas Condotta,Recalled from AHL
"Oct 26, 2024",Philadelphia Flyers,Emil Andrae,Recalled from AHL
"Oct 26, 2024",Philadelphia Flyers,Aleksei Kolosov,Recalled from AHL
"Oct 26, 2024",Philadelphia Flyers,Cam York,Placed on IR
"Oct 26, 2024",Vegas Golden Knights,William Karlsson,Activated from IR
"Oct 26, 2024",Calgary Flames,Yegor Sharangovich,Activated from IR
"Oct 26, 2024",New York Islanders,Hudson Fasching,Recalled from AHL
"Oct 26, 2024",New York Islanders,Pierre Engvall,Recalled from AHL
"Oct 26, 2024",New York Islanders,Liam Foudy,Assigned to AHL
"Oct 26, 2024",Philadelphia Flyers,Jett Luchanko,Assigned to Junior Team
"Oct 26, 2024",New York Rangers,Jake Leschyshyn,Recalled from AHL
"Oct 26, 2024",Pittsburgh Penguins,Tristan Jarry,Assigned to AHL for conditioning stint
"Oct 26, 2024",New York Islanders,Anthony Duclair,Placed on LTIR
"Oct 25, 2024",Carolina Hurricanes,Jackson Blake,Assigned to AHL
"Oct 25, 2024",New York Rangers,Chad Ruhwedel,Assigned to AHL
